Disease Name,Disease Definition
3q29 microdeletion syndrome,"3q29 microdeletion syndrome (also known as 3q29 deletion syndrome) is a condition that results from the deletion of a small piece of chromosome 3 in each cell. The deletion occurs on the long (q) arm of the chromosome at a position designated q29.The features associated with 3q29 microdeletion syndrome vary widely. Some individuals with this chromosomal change have very mild or no related signs and symptoms, and the deletion is discovered through genetic testing only after a family member is diagnosed. However, most people with a 3q29 microdeletion have delayed development (particularly speech delay) and mild or moderate intellectual disability. They also have an increased risk of neurodevelopmental or psychiatric disorders, including autism spectrum disorder (which affects social interaction and communication), anxiety, bipolar disorder, and schizophrenia.Infants with 3q29 microdeletion syndrome often have feeding difficulties and do not grow and gain weight at the expected rate (which is described as failure to thrive). Weak muscle tone (hypotonia), recurrent ear infections, an unusually small head (microcephaly), and yellowing of the skin and whites of the eyes (jaundice) can also occur. Some affected babies are born with a heart defect, most commonly an abnormal connection between two major arteries called patent ductus arteriosus (PDA).Other possible features of 3q29 microdeletion syndrome include gastrointestinal disorders, such as a backflow of acidic stomach contents into the esophagus (gastroesophageal reflux), and abnormalities of the teeth. There may also be a subtle pattern of characteristic facial features, including a long, narrow face; a narrow space between the nose and upper lip (short philtrum); a high bridge of the nose; and large ears."
3q29 microduplication syndrome,"3q29 microduplication syndrome (also known as 3q29 duplication syndrome) is a condition that results from the copying (duplication) of a small piece of chromosome 3 in each cell. The duplication occurs on the long (q) arm of the chromosome at a position designated q29.The features associated with 3q29 microduplication syndrome vary widely. Some individuals with this chromosomal change have very mild or no related signs and symptoms, and the duplication is discovered because they undergo genetic testing only after a family member is diagnosed. Other people with a 3q29 microduplication have delayed development (particularly speech delay) and intellectual disability or learning difficulties. Although most affected individuals have no major birth defects, eye abnormalities, heart defects, and an unusually small head (microcephaly) can occur. 3q29 microduplication syndrome may increase the likelihood of being overweight or having obesity, although it is hard to determine whether these weight issues are caused by the duplication."
"46,XX testicular difference of sex development","46,XX testicular difference of sex development is a condition in which individuals with two X chromosomes in each cell, the pattern typically found in females, have a male appearance. People with this condition have male external genitalia. They generally have small testes and may also have other features such as undescended testes (cryptorchidism) or the urethra opening on the underside of the penis (hypospadias). A small number of affected people have external genitalia that do not look clearly male or clearly female (ambiguous genitalia). Affected children are typically raised as males and develop a male gender identity.At puberty, most affected individuals require treatment with the male sex hormone testosterone to induce development of male secondary sex characteristics such as facial hair and deepening of the voice (masculinization). Hormone treatment can also help prevent breast enlargement (gynecomastia). Adults with this condition are usually shorter than average for males and are unable to have children (infertile)."
"47,XYY syndrome","47,XYY syndrome is characterized by an extra copy of the Y chromosome in each of an individual's cells. Although many people with this condition are taller than average, the chromosomal change sometimes causes no unusual physical features. Most individuals with 47,XYY syndrome have normal production of the male sex hormone testosterone and normal male sexual development, and they are usually able to father children.47,XYY syndrome is associated with an increased risk of learning disabilities and delayed development of speech and language skills. Affected children can have delayed development of motor skills (such as sitting and walking) or weak muscle tone (hypotonia). Other signs and symptoms of this condition include hand tremors or other involuntary movements (motor tics), seizures, and asthma. Individuals with 47,XYY syndrome have an increased risk of behavioral, social, and emotional difficulties compared with their unaffected peers. These problems include attention-deficit/hyperactivity disorder (ADHD); depression; anxiety; and autism spectrum disorder, which is a group of developmental conditions that affect communication and social interaction.Physical features related to 47,XYY syndrome can include increased belly fat, a large head (macrocephaly), unusually large teeth (macrodontia), flat feet (pes planus), fifth fingers that curve inward (clinodactyly), widely spaced eyes (ocular hypertelorism), and abnormal side-to-side curvature of the spine (scoliosis). These characteristics vary widely among people with this condition."
"48,XXXY syndrome","48,XXXY syndrome is a chromosomal condition in boys and men that causes intellectual disability, developmental delays, physical differences, and an inability to father biological children (infertility). Its signs and symptoms vary among affected individuals.Most boys and men with 48,XXXY syndrome have mild intellectual disability with learning difficulties. Speech and language development is particularly affected. Most affected boys and men can understand what other people say more easily than they themselves can speak. The problems with speech and communication can contribute to behavioral issues, including irritability and outbursts or temper tantrums. Boys and men with 48,XXXY syndrome tend to have anxiety, a short attention span, and impaired social skills.48,XXXY syndrome is also associated with weak muscle tone (hypotonia) and problems with coordination that delay the development of motor skills, such as sitting, standing, and walking. Affected boys and men tend to be taller than their peers, with an average adult height of over 6 feet.Other physical differences associated with 48,XXXY syndrome include abnormal fusion of certain bones in the forearm (radioulnar synostosis), an unusually large range of joint movement (hyperextensibility), elbow abnormalities, curved pinky fingers (fifth finger clinodactyly), and flat feet (pes planus). Affected individuals may have distinctive facial features, including widely spaced eyes (ocular hypertelorism), outside corners of the eyes that point upward (upslanting palpebral fissures), and skin folds covering the inner corner of the eyes (epicanthal folds). However, some boys and men with 48,XXXY syndrome do not have these differences in their facial features.48,XXXY syndrome disrupts male sexual development. The penis is shorter than usual, and the testes may be undescended, which means they are abnormally located inside the pelvis or abdomen. The testes are small and do not produce enough testosterone, which is the hormone that directs male sexual development. The shortage of testosterone often leads to incomplete puberty. Starting in adolescence, affected boys and men may have sparse body hair, and some experience breast enlargement (gynecomastia). Their testes typically do not produce sperm, so most men with this condition are infertile."
"48,XXYY syndrome","48,XXYY syndrome is a chromosomal condition that affects development in people who are assigned male at birth. There is a lot of variability in symptoms between people with 48,XXYY syndrome. Almost all affected individuals have developmental delays in infancy and develop decreased testosterone levels (hypogonadism) during adolescence. People with 48,XXYY syndrome are also at risk for other health problems. Adolescents and adults with this condition usually have small testes that do not produce enough testosterone, which is the hormone that directs male sexual development. Without treatment, a shortage of testosterone during puberty can lead to reduced facial and body hair, poor muscle development, low energy levels, and an increased risk of breast enlargement (gynecomastia). Because their testes do not function normally, individuals with 48,XXYY syndrome have difficulty having biological children (a condition called infertility), but they may be able to have children using assisted reproductive technologies. 48,XXYY syndrome can affect other parts of the body as well. Affected individuals are often taller than their peers, with an average adult height of 6 feet, 4 inches (193 cm). They may develop a mild to moderate hand tremor that typically starts in adolescence and may increase with age. Dental problems are frequently seen in people with this condition,  including delayed appearance of the primary (baby) or secondary (adult) teeth, thin tooth enamel, crowded or misaligned teeth, and multiple cavities. Additionally, individuals with 48,XXYY syndrome may have flat feet (pes planus), elbow abnormalities, abnormal fusion of certain bones in the forearm (radioulnar synostosis), allergies, asthma, type 2 diabetes, seizures, congenital heart defects, and an inflammatory condition in the throat (esophagus) called eosinophilic esophagitis. As people with 48,XXYY get older, they may develop a narrowing of the blood vessels in the legs called peripheral vascular disease. Peripheral vascular disease can cause skin ulcers to form. Affected individuals are also at risk of developing a type of clot called a deep vein thrombosis that occurs in the deep veins of the legs. Most individuals with 48,XXYY syndrome have an IQ score that ranges from 60 to 80 and have some degree of difficulty with speech and language development. The development of motor skills such as sitting, standing, and walking may be delayed in some children with 48,XXYY syndrome. They may also have poor coordination. Learning disabilities are very common in people with this disorder, especially in the areas of reading and written expression. People with 48,XXYY typically perform better at tasks focused on math, visual-spatial skills such as puzzles, and memorization of locations or directions. Affected individuals have higher-than-average rates of other neurodevelopmental and behavioral disorders, such as attention-deficit/hyperactivity disorder (ADHD); mood disorders, including anxiety and depression; and autism spectrum disorder, which affects communication and social interaction."
"49,XXXXY syndrome","49,XXXXY syndrome is a chromosomal condition in boys and men that causes intellectual disability, developmental delays, physical differences, and an inability to father biological children (infertility). Its signs and symptoms vary among affected individuals.Boys and men with 49,XXXXY syndrome have mild or moderate intellectual disability with learning difficulties. Speech and language development is particularly affected. Most affected boys and men can understand what other people say more easily than they themselves can speak. People with 49,XXXXY syndrome tend to be shy and friendly, but problems with speech and communication can contribute to behavioral issues, including irritability, difficulty tolerating frustration, defiant behavior, and outbursts or temper tantrums.49,XXXXY syndrome is also associated with weak muscle tone (hypotonia) and problems with coordination that delay the development of motor skills, such as sitting, standing, and walking. Affected infants and young boys are often shorter than their peers, but some catch up in height later in childhood or adolescence.Other physical differences associated with 49,XXXXY syndrome include abnormal fusion of certain bones in the forearm (radioulnar synostosis), an unusually large range of joint movement (hyperextensibility), elbow abnormalities, curved pinky fingers (fifth finger clinodactyly), and flat feet (pes planus). Affected individuals have distinctive facial features that can include widely spaced eyes (ocular hypertelorism), outside corners of the eyes that point upward (upslanting palpebral fissures), skin folds covering the inner corner of the eyes (epicanthal folds), and a flat bridge of the nose. Dental abnormalities are also common in this disorder.49,XXXXY syndrome disrupts male sexual development. The penis is often short and underdeveloped, and the testes may be undescended, which means they are abnormally located inside the pelvis or abdomen. The testes are small and do not produce enough testosterone, which is the hormone that directs male sexual development. The shortage of testosterone often leads to incomplete puberty. Starting in adolescence, affected boys and men may have sparse body hair, and some experience breast enlargement (gynecomastia). Their testes do not produce sperm, so all men with 49,XXXXY syndrome are infertile."
5-alpha reductase deficiency,"5-alpha reductase deficiency is a condition that affects male sexual development before birth and during puberty. People with this condition are genetically male, with one X and one Y chromosome in each cell, and they have male gonads (testes). Their bodies, however, do not produce enough of a hormone called dihydrotestosterone (DHT). DHT has a critical role in male sexual development, and a shortage of this hormone disrupts the formation of the external sex organs before birth.Many people with 5-alpha reductase deficiency are born with external genitalia that appear female. In other cases, the external genitalia do not look clearly male or clearly female (sometimes called ambiguous genitalia). Still other affected infants have genitalia that appear predominantly male, often with an unusually small penis (micropenis) and the urethra opening on the underside of the penis (hypospadias).During puberty, an increase in the levels of male sex hormones leads to the development of some secondary sex characteristics, such as increased muscle mass, deepening of the voice, development of pubic hair, and a growth spurt. The penis and scrotum (the sac of skin that holds the testes) grow larger. Unlike many men, people with 5-alpha reductase deficiency do not develop much facial or body hair. Most affected individuals are unable to have biological children without assisted reproduction.Children with 5-alpha reductase deficiency are often raised as girls. Some of these individuals adopt a male gender role in adolescence or early adulthood, while others adopt a female gender role."
5q minus syndrome,"5q minus (5q-) syndrome is a type of bone marrow disorder called myelodysplastic syndrome (MDS). MDS comprises a group of conditions in which immature blood cells fail to develop normally, resulting in too many immature cells and too few normal mature blood cells. In 5q- syndrome, development of red blood cells is particularly affected, leading to a shortage of these cells (anemia). In addition, the red blood cells that are present are unusually large (macrocytic). Although many people with 5q- syndrome have no symptoms related to anemia, especially in the early stages of the condition, some affected individuals develop extreme tiredness (fatigue), weakness, and an abnormally pale appearance (pallor) as the condition worsens. Individuals with 5q- syndrome also have abnormal development of bone marrow cells called megakaryocytes, which produce platelets, the cells involved in blood clotting. A common finding in people with 5q- syndrome is abnormal cells described as hypolobated megakaryocytes. In addition, some individuals with 5q- syndrome have an excess of platelets, while others have normal numbers of platelets.MDS is considered a slow-growing (chronic) blood cancer. It can progress to a fast-growing blood cancer called acute myeloid leukemia (AML). Progression to AML occurs less commonly in people with 5q- syndrome than in those with other forms of MDS."
5q31.3 microdeletion syndrome,"5q31.3 microdeletion syndrome is a condition characterized by severely delayed development of speech and motor skills, such as walking. Beginning in infancy, affected individuals also have weak muscle tone (hypotonia), feeding difficulties, and breathing problems. Breathing problems and difficulty swallowing (dysphagia) can be life-threatening.5q31.3 microdeletion syndrome is also characterized by distinctive facial features. Such features include a narrow forehead, widely spaced eyes (hypertelorism), an open mouth with an upper lip that points outward (called a tented lip), a high arch in the roof of the mouth (high-arched palate), a small lower jaw (micrognathia), and a lack of facial expression. Some of these features, such as an open mouth with a tented lip and an expressionless face, are thought to be due to hypotonia.Recurrent seizures (epilepsy) and seizure-like episodes (which can include muscle jerking, twitching, and stiffening), are common in 5q31.3 microdeletion syndrome. Many individuals with 5q31.3 microdeletion syndrome have brain abnormalities, several of which are caused by reduced production of myelin or delayed maturation of myelin. Myelin is the protective covering that insulates nerves and ensures the rapid transmission of nerve impulses."
6q24-related transient neonatal diabetes mellitus,"6q24-related transient neonatal diabetes mellitus is a type of diabetes that occurs in infants. This form of diabetes is characterized by high blood sugar levels (hyperglycemia) resulting from a shortage of the hormone insulin. Insulin controls how much glucose (a type of sugar) is passed from the blood into cells for conversion to energy.People with 6q24-related transient neonatal diabetes mellitus experience very slow growth before birth (severe intrauterine growth retardation). Affected infants have hyperglycemia and an excessive loss of fluids (dehydration), usually beginning in the first week of life. Signs and symptoms of this form of diabetes are transient, which means that they gradually lessen over time and generally disappear between the ages of 3 months and 18 months. Diabetes may recur, however, especially during childhood illnesses or pregnancy. Up to half of individuals with 6q24-related transient neonatal diabetes mellitus develop permanent diabetes mellitus later in life.Other features of 6q24-related transient neonatal diabetes mellitus that occur in some affected individuals include an unusually large tongue (macroglossia); a soft out-pouching around the belly-button (an umbilical hernia); malformations of the brain, heart, or kidneys; weak muscle tone (hypotonia); deafness; and developmental delay."
7q11.23 duplication syndrome,"7q11.23 duplication syndrome is a condition that can cause a variety of neurological and behavioral problems as well as other abnormalities.People with 7q11.23 duplication syndrome typically have delayed development of speech and motor skills such as crawling and walking. Speech problems and abnormalities in the way affected individuals walk and stand may persist throughout life. People with this condition may also have weak muscle tone (hypotonia) and abnormal movements, such as involuntary movements of one side of the body that mirror intentional movements of the other side. About one-fifth of people with 7q11.23 duplication syndrome experience seizures.Intellectual development varies widely in 7q11.23 duplication syndrome. The majority of people with this condition have low-average to average intelligence. Intellectual disability or borderline intellectual ability occur in about one-third of affected individuals. Rarely, people with this disorder have above-average intelligence.Neurodevelopmental problems associated with this condition include anxiety disorders (such as social phobias and selective mutism, which is an inability to speak in certain circumstances), attention-deficit/hyperactivity disorder (ADHD), physical aggression, excessively defiant behavior (oppositional disorder), and autism spectrum disorder that affect communication and social interaction.Approximately half of individuals with 7q11.23 duplication syndrome have enlargement (dilatation) of the blood vessel that carries blood from the heart to the rest of the body (the aorta); this enlargement can get worse over time. Aortic dilatation can lead to life-threatening complications if the wall of the aorta separates into layers (aortic dissection) or breaks open (ruptures).People with 7q11.23 duplication syndrome can have characteristic features of the head and face, including a large head (macrocephaly) that is flattened in the back (brachycephaly), a broad forehead, straight eyebrows, and deep-set eyes with long eyelashes. The nose may be broad at the tip with the area separating the nostrils attaching lower than usual on the face (low insertion of the columella), resulting in a shortened area between the nose and the upper lip (philtrum). A high arch in the roof of the mouth (high-arched palate) and ear abnormalities may also occur. These features may be mild and not recognized in some affected individuals."
8p11 myeloproliferative syndrome,"8p11 myeloproliferative syndrome is a blood cancer that involves different types of blood cells. Blood cells are divided into several groups (lineages) based on the type of early cell from which they are descended. Two of these lineages are myeloid cells and lymphoid cells. Individuals with 8p11 myeloproliferative syndrome can develop both myeloid cell cancer and lymphoid cell cancer.The condition can occur at any age. It usually begins as a myeloproliferative disorder, which is characterized by a high number of white blood cells (leukocytes). Most affected individuals also have an excess of myeloid cells known as eosinophils (eosinophilia).In addition to a myeloproliferative disorder, many people with 8p11 myeloproliferative syndrome develop lymphoma, which is a form of blood cancer that involves lymphoid cells. The cancerous lymphoid cells grow and divide in lymph nodes, forming a tumor that enlarges the lymph nodes. In most cases of 8p11 myeloproliferative syndrome, the cancerous cells are lymphoid cells called T cells. Lymphoma can develop at the same time as the myeloproliferative disorder or later.In most people with 8p11 myeloproliferative syndrome, the myeloproliferative disorder develops into a fast-growing blood cancer called acute myeloid leukemia.The rapid myeloid and lymphoid cell production caused by these cancers results in enlargement of the spleen and liver (splenomegaly and hepatomegaly, respectively). Most people with 8p11 myeloproliferative syndrome have symptoms such as fatigue or night sweats. Some affected individuals have no symptoms, and the condition is discovered through routine blood tests."
9q22.3 microdeletion,"9q22.3 microdeletion is a chromosomal change in which a small piece of chromosome 9 is deleted in each cell. The deletion occurs on the long (q) arm of the chromosome in a region designated q22.3. This chromosomal change is associated with delayed development, intellectual disability, certain physical abnormalities, and the characteristic features of a genetic condition called Gorlin syndrome.Many individuals with a 9q22.3 microdeletion have delayed development, particularly affecting the development of motor skills such as sitting, standing, and walking. In some people, the delays are temporary and improve in childhood. More severely affected individuals have permanent developmental disabilities along with intellectual impairment and learning problems. Rarely, seizures have been reported in people with a 9q22.3 microdeletion.About 20 percent of people with a 9q22.3 microdeletion experience overgrowth (macrosomia), which results in increased height and weight compared to unaffected peers. The macrosomia often begins before birth and continues into childhood. Other physical changes that are sometimes associated with a 9q22.3 microdeletion include the premature fusion of certain bones in the skull (metopic craniosynostosis) and a buildup of fluid in the brain (hydrocephalus). Affected individuals can also have distinctive facial features such as a prominent forehead  with vertical skin creases, upward- or downward-slanting eyes, a short nose, and a long space between the nose and upper lip (philtrum).9q22.3 microdeletions also cause the characteristic features of Gorlin syndrome (also known as nevoid basal cell carcinoma syndrome). This genetic condition affects many areas of the body and increases the risk of developing various cancerous and noncancerous tumors. In people with Gorlin syndrome, the type of cancer diagnosed most often is basal cell carcinoma, which is the most common form of skin cancer. Most people with this condition also develop noncancerous (benign) tumors of the jaw, called keratocystic odontogenic tumors, which can cause facial swelling and tooth displacement. Other types of tumors that occur in some people with Gorlin syndrome include a form of childhood brain cancer called a medulloblastoma and a type of benign tumor called a fibroma that occurs in the heart or in a woman's ovaries. Other features of Gorlin syndrome include small depressions (pits) in the skin of the palms of the hands and soles of the feet; an unusually large head size (macrocephaly) with a prominent forehead; and skeletal abnormalities involving the spine, ribs, or skull."
ACAD9 deficiency,"ACAD9 deficiency is a condition that varies in severity and can cause muscle weakness (myopathy), heart problems, and intellectual disability. Nearly all affected individuals have a buildup of a chemical called lactic acid in the body (lactic acidosis). Additional signs and symptoms that affect other body systems occur in rare cases.Mildly affected individuals with ACAD9 deficiency usually experience nausea and extreme fatigue in response to physical activity (exercise intolerance). People with ACAD9 deficiency who are moderately affected have low muscle tone (hypotonia) and weakness in the muscles used for movement (skeletal muscles). Severely affected individuals have brain dysfunction combined with myopathy (encephalomyopathy); these individuals usually also have an enlarged and weakened heart muscle (hypertrophic cardiomyopathy), which is typically fatal in infancy or childhood.Individuals with ACAD9 deficiency who survive past early childhood often have intellectual disability and may develop seizures. Rare signs and symptoms of ACAD9 deficiency include movement disorders and problems with liver and kidney function.Some individuals with ACAD9 deficiency have had improvement in muscle strength and a reduction in lactic acid levels with treatment."
ADCY5-related dyskinesia,"ADCY5-related dyskinesia is a movement disorder; the term ""dyskinesia"" refers to abnormal involuntary movements. The abnormal movements that occur in ADCY5-related dyskinesia typically appear as sudden (paroxysmal) jerks, twitches, tremors, muscle tensing (dystonia), or writhing (choreiform) movements, and can affect the limbs, neck, and face.The abnormal movements associated with ADCY5-related dyskinesia usually begin between infancy and late adolescence. They can occur continually during waking hours, and frequently also disturb sleep. The involuntary movements often occur when changing position, such as from sitting to standing, or when deliberately making other movements.Severely affected infants may experience weak muscle tone (hypotonia) and delay in development of motor skills such as crawling and walking; later, these individuals may have difficulties with activities of daily living and may eventually require a wheelchair. In more mildly affected individuals, the condition has little impact on walking and other motor skills, although the abnormal movements can lead to clumsiness or difficulty with social acceptance in school or other situations.In some people with ADCY5-related dyskinesia, the disorder is generally stable throughout their lifetime. In others, it slowly gets worse (progresses) in both frequency and severity before stabilizing or even improving in middle age. Anxiety, fatigue, and other stress can temporarily increase the severity of the signs and symptoms of ADCY5-related dyskinesia, while some affected individuals may experience remission periods of days or weeks without abnormal movements. Life expectancy is not usually affected by ADCY5-related dyskinesia, and most people with this condition have normal intelligence."
ADNP syndrome,"ADNP syndrome is a condition that causes a wide variety of signs and symptoms. Its hallmark features are intellectual disability and autism spectrum disorder, which is characterized by impaired communication and social interaction. Affected individuals also have distinctive facial features and abnormalities of multiple body systems.Individuals with ADNP syndrome have mild to severe intellectual disability and delayed development of speech and motor skills such as sitting and walking. Some affected individuals are never able to speak. People with this disorder exhibit characteristics typical of autism spectrum disorder, including repetitive behaviors and difficulty with social interactions. ADNP syndrome is also associated with mood disorders or behavioral problems, such as anxiety, temper tantrums, attention-deficit/hyperactivity disorder (ADHD), obsessive-compulsive disorder, or sleep problems.Many people with ADNP syndrome have distinctive facial features, which most commonly include a prominent forehead, a high hairline, outside corners of the eyes that point upward or downward (upslanting or downslanting palpebral fissures), droopy eyelids (ptosis), a broad nasal bridge, and a thin upper lip. These individuals may also have unusually shaped ears or hand and finger abnormalities. Eye and vision abnormalities, such as eyes that do not point in the same direction (strabismus) and farsightedness (hyperopia), also occur in ADNP syndrome. Some people with this condition have early appearance (eruption) of primary (baby) teeth.Some people with ADNP syndrome have weak muscle tone (hypotonia) and feeding difficulties in infancy. They may also have digestive system problems, such as backflow of stomach acids into the esophagus (gastroesophageal reflux), vomiting, and constipation. Other features that occur in ADNP syndrome include obesity, seizures, and heart abnormalities."
ALG1-congenital disorder of glycosylation,"ALG1-congenital disorder of glycosylation (ALG1-CDG, also known as congenital disorder of glycosylation type Ik) is an inherited disorder with varying signs and symptoms that typically develop during infancy and can affect several body systems.Individuals with ALG1-CDG often have intellectual disability, delayed development, and weak muscle tone (hypotonia). Many affected individuals develop seizures that can be difficult to treat. Individuals with ALG1-CDG may also have movement problems such as involuntary rhythmic shaking (tremor) or difficulties with movement and balance (ataxia).People with ALG1-CDG often have problems with blood clotting, which can lead to abnormal clotting or bleeding episodes. Additionally, affected individuals may produce abnormally low levels of proteins called antibodies (or immunoglobulins), particularly immunoglobulin G (IgG). Antibodies help protect the body against infection by foreign particles and germs. A reduction in antibodies can make it difficult for affected individuals to fight infections.Some people with ALG1-CDG have physical abnormalities such as a small head size (microcephaly); unusual facial features; joint deformities called contractures; long, slender fingers and toes (arachnodactyly); or unusually fleshy pads at the tips of the fingers and toes. Eye problems that may occur in people with this condition include eyes that do not point in the same direction (strabismus) or involuntary eye movements (nystagmus). Rarely, affected individuals develop vision loss.Less common abnormalities that occur in people with ALG1-CDG include respiratory problems, reduced sensation in their arms and legs (peripheral neuropathy), swelling (edema), and gastrointestinal difficulties.The signs and symptoms of ALG1-CDG are often severe, with affected individuals surviving only into infancy or childhood. However, some people with this condition are more mildly affected and survive into adulthood."
ALG12-congenital disorder of glycosylation,"ALG12-congenital disorder of glycosylation (ALG12-CDG, also known as congenital disorder of glycosylation type Ig) is an inherited disorder with varying signs and symptoms that can affect several body systems. Individuals with ALG12-CDG typically develop signs and symptoms of the condition during infancy. They may have problems feeding and difficulty growing and gaining weight at the expected rate (failure to thrive). In addition, affected individuals often have intellectual disability, delayed development, and weak muscle tone (hypotonia), and some develop seizures.Some people with ALG12-CDG have physical abnormalities such as a small head size (microcephaly) and unusual facial features. These features can include folds of skin that cover the inner corners of the eyes (epicanthal folds), a prominent nasal bridge, and abnormally shaped ears. Some males with ALG12-CDG have abnormal genitalia, such as a small penis (micropenis) and undescended testes.People with ALG12-CDG often produce abnormally low levels of proteins called antibodies (or immunoglobulins), particularly immunoglobulin G (IgG). Antibodies help protect the body against infection by attaching to specific foreign particles and germs, marking them for destruction. A reduction in antibodies can make it difficult for affected individuals to fight infections.Less common abnormalities seen in people with ALG12-CDG include a weakened heart muscle (cardiomyopathy) and poor bone development, which can lead to skeletal abnormalities."
ALG6-congenital disorder of glycosylation,"ALG6-congenital disorder of glycosylation (ALG6-CDG, also known as congenital disorder of glycosylation type Ic) is an inherited condition that affects many parts of the body. The signs and symptoms of ALG6-CDG vary widely among people with the condition.Individuals with ALG6-CDG typically develop signs and symptoms of the condition during infancy. They may have difficulty gaining weight and growing at the expected rate (failure to thrive). Affected infants often have weak muscle tone (hypotonia) and developmental delay.People with ALG6-CDG may have seizures, problems with coordination and balance (ataxia), or stroke-like episodes that involve an extreme lack of energy (lethargy) and temporary paralysis. They may also develop blood clotting disorders. Some individuals with ALG6-CDG have eye abnormalities including eyes that do not look in the same direction (strabismus) and an eye disorder called retinitis pigmentosa, which causes vision loss. Females with ALG6-CDG have hypergonadotropic hypogonadism, which affects the production of hormones that direct sexual development. As a result, most females with ALG6-CDG do not go through puberty."
Aarskog-Scott syndrome,"Aarskog-Scott syndrome is a genetic disorder that affects the development of many parts of the body, most commonly the head and face, the hands and feet, and the genitals and urinary system (genitourinary tract). This condition mainly affects males, although females may have mild features of the syndrome.People with Aarskog-Scott syndrome often have distinctive facial features, such as widely spaced eyes (hypertelorism), a small nose, a long area between the nose and mouth (philtrum), and a widow's peak hairline. They frequently have mild to moderate short stature during childhood, but their growth usually catches up with that of their peers during puberty. Hand abnormalities are common in this syndrome and include short fingers (brachydactyly), curved pinky fingers (fifth finger clinodactyly), webbing of the skin between some fingers (cutaneous syndactyly), and a single crease across the palm. Affected individuals can also have wide, flat feet with broad, rounded toes. Other abnormalities in people with Aarskog-Scott syndrome include heart defects and a split in the upper lip (cleft lip) with or without an opening in the roof of the mouth (cleft palate).Most males with Aarskog-Scott syndrome have a shawl scrotum, in which the scrotum surrounds the penis instead of hanging below. Less often, they have undescended testes (cryptorchidism) or a soft out-pouching around the belly-button (umbilical hernia) or in the lower abdomen (inguinal hernia).The intellectual development of people with Aarskog-Scott syndrome varies widely. Most individuals with Aarskog-Scott syndrome have normal intelligence; however, some may have mild learning and behavior problems, and in rare cases, severe intellectual disability has been reported."
Abdominal wall defect,"An abdominal wall defect is an opening in the abdomen through which various abdominal organs can protrude. This opening varies in size and can usually be diagnosed early in fetal development, typically between the tenth and fourteenth weeks of pregnancy. There are two main types of abdominal wall defects: omphalocele and gastroschisis. Omphalocele is an opening in the center of the abdominal wall where the umbilical cord meets the abdomen. Organs (typically the intestines, stomach, and liver) protrude through the opening into the umbilical cord and are covered by the same protective membrane that covers the umbilical cord. Gastroschisis is a defect in the abdominal wall, usually to the right of the umbilical cord, through which the large and small intestines protrude (although other organs may sometimes bulge out). There is no membrane covering the exposed organs in gastroschisis.Fetuses with omphalocele may grow slowly before birth (intrauterine growth retardation) and they may be born prematurely. Individuals with omphalocele frequently have multiple birth defects, such as a congenital heart defect. Additionally, underdevelopment of the lungs is often associated with omphalocele because the abdominal organs normally provide a framework for chest wall growth. When those organs are misplaced, the chest wall does not form properly, providing a smaller than normal space for the lungs to develop. As a result, many infants with omphalocele have respiratory insufficiency and may need to be supported with a machine to help them breathe (mechanical ventilation). Rarely, affected individuals who have breathing problems in infancy experience recurrent lung infections or asthma later in life. Affected infants often have gastrointestinal problems including a backflow of stomach acids into the esophagus (gastroesophageal reflux) and feeding difficulty; these problems can persist even after treatment of omphalocele. Large omphaloceles or those associated with multiple additional health problems are more often associated with fetal death than cases in which omphalocele occurs alone (isolated).Omphalocele is a feature of many genetic syndromes. Nearly half of individuals with omphalocele have a condition caused by an extra copy of one of the chromosomes in each of their cells (trisomy). Up to one-third of people born with omphalocele have a genetic condition called Beckwith-Wiedemann syndrome. Affected individuals may have additional signs and symptoms associated with these genetic conditions.Individuals who have gastroschisis rarely have other birth defects and seldom have chromosome abnormalities or a genetic condition. Most affected individuals experience intrauterine growth retardation and are small at birth; many affected infants are born prematurely.With gastroschisis, the protruding organs are not covered by a protective membrane and are susceptible to damage due to direct contact with amniotic fluid in the womb. Components of the amniotic fluid may trigger immune responses and inflammatory reactions against the intestines that can damage the tissue. Constriction around exposed organs at the abdominal wall opening late in fetal development may also contribute to organ injury. Intestinal damage causes impairment of the muscle contractions that move food through the digestive tract (peristalsis) in most children with gastroschisis. In these individuals, peristalsis usually improves in a few months and intestinal muscle contractions normalize. Rarely, children with gastroschisis have a narrowing or absence of a portion of intestine (intestinal atresia) or twisting of the intestine. After birth, these intestinal malformations can lead to problems with digestive function, further loss of intestinal tissue, and a condition called short bowel syndrome that occurs when areas of the small intestine are missing, causing dehydration and poor absorption of nutrients. Depending on the severity of the condition, intravenous feedings (parenteral nutrition) may be required.The health of an individual with gastroschisis depends largely on how damaged his or her intestine was before birth. When the abdominal wall defect is repaired and normal intestinal function is recovered, the vast majority of affected individuals have no health problems related to the repaired defect later in life."
